category,url
grundwissen,https://www.ardmediathek.de/video/checker-reportagen/der-gletscher-check/br/Y3JpZDovL2JyLmRlL3ZpZGVvLzAzYzY3YzdiLTI5YTMtNDRkNy1iOGZlLTcwNThlMDI4ZmY1Yw?isChildContent
grundwissen,https://www.ardmediathek.de/video/wissen-macht-ah/warum-haben-hamster-backentaschen-und-was-ist-hamstern/das-erste/Y3JpZDovL3dkci5kZS9CZWl0cmFnLXNvcGhvcmEtNzU3Yzk5NjAtMGE4MC00YmRiLWE5YTEtMjc3YjRmZThjMDYw?isChildContent
grundwissen,https://www.ardmediathek.de/video/die-maus/was-ist-ein-defibrillator/wdr/Y3JpZDovL3dkci5kZS9CZWl0cmFnLXNvcGhvcmEtYTgzNzYyNDktMTg0Yy00ZDgzLWI4Y2UtYWZkZTE2NGUwMjM1
grundwissen,https://www.ardmediathek.de/video/anna-nina-pia-und-die-haustiere/python/br/Y3JpZDovL2JyLmRlL3ZpZGVvL2I3YjEyMDVlLWEzYmMtNGRiZS1iMDc3LTdmNmY2ZGQxMGMwMw?isChildContent
sport,https://www.ardmediathek.de/video/sport-erklaert/so-weit-koennen-skispringer-maximal-fliegen-s01-e02/swr/Y3JpZDovL3N3ci5kZS9hZXgvbzE0MTU2MjA
sport,https://www.ardmediathek.de/video/sport-erklaert/was-beim-kopfball-mit-deinem-gehirn-passiert-s01-e08/swr/Y3JpZDovL3N3ci5kZS9hZXgvbzE0NzY0ODk
sport,https://www.ardmediathek.de/video/sport-erklaert/der-perfekte-elfmeter-s01-e15/swr/Y3JpZDovL3N3ci5kZS9hZXgvbzIwNzM0MDE
sport,https://www.ardmediathek.de/video/sportschau-fuer-kinder/so-geht-die-olympische-disziplin-skateboard-park/kika/Y3JpZDovL2tpa2EuZGUvcHVibGlrYXRpb24vY29udGVudC03ODc3Nw
musik,https://www.ardmediathek.de/video/anna-nina-pia-und-die-haustiere/python/br/Y3JpZDovL2JyLmRlL3ZpZGVvL2I3YjEyMDVlLWEzYmMtNGRiZS1iMDc3LTdmNmY2ZGQxMGMwMw?isChildContent
musik,https://www.ardmediathek.de/video/klassische-musik-fuer-kinder/verdi-aida-mit-lego-crashkurs-oper-ab-5-jahre-br-klassik/ard/Y3JpZDovL3N3ci5kZS9hZXgvbzE4MTAzNjA?isChildContent
musik,https://www.youtube.com/watch?v=s6ZnYAPDe8A
humor,https://www.ardmediathek.de/video/almania/folge-1-herzvoll-s01-e01/swr/Y3JpZDovL3N3ci5kZS9hZXgvbzE0MjY4NzU
humor,https://www.ardmediathek.de/video/hr-retro-oder-hessenschau/affen-als-haustiere/hr/Y3JpZDovL2hyLW9ubGluZS8xNTg4NDE
humor,https://www.ardmediathek.de/video/extra-3/deutschlands-irre-schul-logik-erklaert-mit-maike-kuehl/das-erste/Y3JpZDovL25kci5kZS9lMTdhOWU3YS0wOTZmLTQ0MWEtYTg1MC01ODEwODRlM2EzMGU
geschichte,https://www.ardmediathek.de/video/alpha-doku/aegyptens-tiere-der-unterwelt/ard-alpha/Y3JpZDovL2JyLmRlL2Jyb2FkY2FzdC9GMjAyNVdPMDI1NDU4QTA
geschichte,https://www.ardmediathek.de/video/unterhaltung/deutschlands-schoenste-welterbe/wdr/Y3JpZDovL3dkci5kZS9CZWl0cmFnLXNvcGhvcmEtOWFiMzUyZDQtNmU0My00NjU0LTkyZjYtZTYxZjliMzJlMjdi
geschichte,https://www.ardmediathek.de/video/die-hauda-und-die-kunst/frida-kahlo-feministische-augenbrauen/ndr/Y3JpZDovL25kci5kZS80ODc0XzIwMjMtMDctMDctMDAtMDA
geschichte,https://www.ardmediathek.de/video/planet-schule/die-franzoesische-revolution-in-100-sek/wdr/Y3JpZDovL3BsYW5ldC1zY2h1bGUuZGUvQVJEXzExNjIwX3ZpZGVv
kultur,https://www.ardmediathek.de/video/capriccio/the-notwist-news-from-planet-zombie/br/Y3JpZDovL2JyLmRlL2Jyb2FkY2FzdC9GMjAyNVdPMDI0NzI3QTAvc2VjdGlvbi8wZjg1M2U5ZS1hYmM4LTQzODktODViOC00NzE4NzQ0YTRjODc
kultur,https://www.ardmediathek.de/video/swr-kultur/mein-innerer-schwarzwald-einmal-ins-rumaenische-banat-und-zurueck/swr/Y3JpZDovL3N3ci5kZS9hZXgvbzIzMDc1MzI
kultur,https://www.ardmediathek.de/video/klassiker-der-weltliteratur/hermann-hesse/ard-alpha/Y3JpZDovL2JyLmRlL3ZpZGVvL2FiOTg5ZGZlLWE2OTctNGVhZS1iOTJiLTg5YWE4MzUxNjJmMg
